neuron_count,repeat_id,train_size,test_size,mae_circular_deg,median_ae_circular_deg,model_type,shuffle_control
500,10,3679,919,3.0007,2.4063,OLS,False
500,11,3679,919,2.8645,2.2788,OLS,False
500,12,3679,919,3.0215,2.476,OLS,False
500,13,3679,919,2.9977,2.4445,OLS,False
500,14,3679,919,2.9964,2.4308,OLS,False
500,15,3679,919,2.965,2.4812,OLS,False
500,16,3679,919,2.8279,2.3205,OLS,False
500,17,3679,919,3.0902,2.5035,OLS,False
500,18,3679,919,2.9288,2.3832,OLS,False
500,19,3679,919,2.9435,2.4292,OLS,False
1000,0,3679,919,2.8041,2.2787,OLS,False
100,0,3679,919,45.176,45.0217,OLS,True
100,1,3679,919,45.2872,45.2562,OLS,True
100,2,3679,919,44.7537,44.5156,OLS,True
100,3,3679,919,45.0103,45.3502,OLS,True
100,4,3679,919,44.4942,44.1243,OLS,True
100,5,3679,919,45.253,45.5404,OLS,True
100,6,3679,919,45.0944,45.8064,OLS,True
100,7,3679,919,44.9183,45.2827,OLS,True
100,8,3679,919,45.5553,45.1938,OLS,True
100,9,3679,919,45.0641,45.6912,OLS,True
