method,metric,value,bootstrap_ci_lo,bootstrap_ci_hi
Pearson,r,0.10936182534609738,0.09585573256998461,0.1230075774910756
Pearson,p_value,1.1183142759297313e-63,,
Spearman,r,0.23919821563222177,0.2268545712666716,0.25188904152488134
Spearman,p_value,3.6984598144820035e-304,,
