parameter,coefficient,std_error,t_statistic,p_value
intercept,0.6888412748839213,0.0020240066677347296,340.33547708361715,0.0
kappa,0.0007622248828476042,0.0001418277803805972,5.374298891247971,7.761034592768112e-08
mean_response,0.003942339825381599,0.0001227439512862174,32.11840407670071,0.0
