neuron_count,mae_mean,mae_std,mae_min,mae_max,medae_mean,medae_std,n_repeats
10,19.95544,4.304644135716435,13.4561,28.2664,12.046575,2.374477491969216,20
25,10.266085,1.5326736176316895,8.3317,13.3502,6.62411,0.6135598121231797,20
50,6.334210000000001,0.6638186110043838,4.8442,7.7859,4.669065,0.3725129531834748,20
100,4.48421,0.2360048569972993,4.0241,4.9079,3.5105049999999998,0.1877039535657429,20
250,3.439725,0.10244807606526185,3.2385,3.6348,2.796185,0.0818362760574269,20
500,2.98463,0.08518065075566103,2.8279,3.1511,2.4282049999999997,0.06832449260311915,20
1000,2.8041,,2.8041,2.8041,2.2787,,1
